Company Name,Industry,Symbol,Series,ISIN Code
8K Miles Soft Services Ltd.,IT,8KMILES,EQ,INE650K01021
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
Aban Offshore Ltd.,ENERGY,ABAN,EQ,INE421A01028
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,ENERGY,AEGISCHEM,EQ,INE208C01025
Ahluwalia Contracts (India) Ltd.,CONSTRUCTION,AHLUCONT,EQ,INE758C01029
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
Apar Industries Ltd.,INDUSTRIAL MANUFACTURING,APARINDS,EQ,INE372A01015
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01020
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE,EQ,INE243D01012
BGR Energy Systems Ltd,CONSTRUCTION,BGRENERGY,EQ,INE661I01014
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Corp Ltd.,CONSUMER GOODS,BAJAJCORP,EQ,INE933K01021
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,EQ,INE306A01021
Ballarpur Industries Ltd.,PAPER,BALLARPUR,EQ,INE294A01037
Balmer Lawrie & Co. Ltd.,SERVICES,BALMLAWRIE,EQ,INE164A01016
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bhushan Steel Ltd.,METALS,BHUSANSTL,EQ,INE824B01021
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,EQ,INE416D01022
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,EQ,INE032A01023
Bombay Rayon Fashions Ltd.,TEXTILES,BRFL,EQ,INE589G01011
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Capital First Ltd.,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,EQ,INE475E01026
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,CONSTRUCTION,CERA,EQ,INE739E01017
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017
Coffee Day Enterprises Ltd.,CONSUMER GOODS,COFFEEDAY,EQ,INE335K01011
Corporation Bank,FINANCIAL SERVICES,CORPBANK,EQ,INE112A01023
Cox & Kings Ltd.,SERVICES,COXKINGS,EQ,INE008I01026
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
D B Realty Ltd.,CONSTRUCTION,DBREALTY,EQ,INE879I01012
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,EQ,INE499A01024
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,EQ,INE501A01019
Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033
Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN,EQ,INE947J01015
Dena Bank,FINANCIAL SERVICES,DENABANK,EQ,INE077A01010
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,EQ,INE435G01025
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012
Dredging Corporation of India Ltd.,SERVICES,DREDGECORP,EQ,INE506A01018
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017
Eris Lifesciences Ltd.,PHARMA,ERIS,EQ,INE406M01024
Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA,EQ,INE416L01017
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK,EQ,INE255A01020
Eveready Industries India Ltd.,CONSUMER GOODS,EVEREADY,EQ,INE128A01029
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,EQ,INE183A01016
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,EQ,INE220J01025
Future Lifestyle Fashions Ltd.,CONSUMER GOODS,FLFL,EQ,INE452O01016
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,EQ,INE878A01011
GHCL Ltd.,CHEMICALS,GHCL,EQ,INE539A01019
GVK Power & Infrastructures Ltd.,CONSTRUCTION,GVKPIL,EQ,INE251H01024
Gateway Distriparks Ltd.,SERVICES,GDL,EQ,INE852F01015
Gati Ltd.,SERVICES,GATI,EQ,INE152B01027
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,EQ,INE017A01032
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026
Greenply Industries Ltd.,CONSUMER GOODS,GREENPLY,EQ,INE461C01038
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,EQ,INE186A01019
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
Gulf Oil Lubricants India Ltd.,ENERGY,GULFOILLUB,EQ,INE635Q01029
HCL Infosystems Ltd.,IT,HCL_INSYS,EQ,INE236A01020
HSIL Ltd.,CONSUMER GOODS,HSIL,EQ,INE415A01038
HT Media Ltd.,MEDIA & ENTERTAINMENT,HTMEDIA,EQ,INE501G01024
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,EQ,INE982F01036
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,EQ,INE978A01027
Himachal Fut Com Ltd.,TELECOM,HFCL,EQ,INE548A01028
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,EQ,INE049A01027
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,EQ,INE549A01026
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,EQ,INE191I01012
ICRA Ltd.,FINANCIAL SERVICES,ICRA,EQ,INE725G01011
IFB Industries Ltd.,CONSUMER GOODS,IFBIND,EQ,INE559A01017
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IL&FS Transportation Networks Ltd.,CONSTRUCTION,ILFSTRANS,EQ,INE975G01012
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM,EQ,INE686A01026
ITI Ltd.,TELECOM,ITI,EQ,INE248A01017
Igarashi Motors India Ltd.,AUTOMOBILE,IGARASHI,EQ,INE188B01013
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
India Tourism Development Corporation Ltd.,SERVICES,ITDC,EQ,INE353K01014
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,EQ,INE274G01010
Indo Count Industries Ltd.,TEXTILES,ICIL,EQ,INE483B01026
Indoco Remedies Ltd.,PHARMA,INDOCO,EQ,INE873D01024
Infibeam Incorporation Ltd.,IT,INFIBEAM,EQ,INE483S01020
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND,EQ,INE177A01018
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,EQ,INE312H01016
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,EQ,INE066P01011
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,EQ,INE823G01014
J.Kumar Infraprojects Ltd.,CONSTRUCTION,JKIL,EQ,INE576I01022
JBF Industries Ltd.,TEXTILES,JBFIND,EQ,INE187A01017
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,EQ,INE786A01032
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,EQ,INE199G01027
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,EQ,INE070D01027
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
Jaiprakash Power Ventures Ltd.,ENERGY,JPPOWER,EQ,INE351F01018
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,JKBANK,EQ,INE168A01041
Jet Airways (India) Ltd.,SERVICES,JETAIRWAYS,EQ,INE802G01018
Jindal Poly Films Ltd.,INDUSTRIAL MANUFACTURING,JINDALPOLY,EQ,INE197D01010
Jindal Saw Ltd.,METALS,JINDALSAW,EQ,INE324A01024
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,EQ,INE455T01018
Jindal Stainless Ltd.,METALS,JSL,EQ,INE220G01021
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,EQ,INE782A01015
Justdial Ltd.,IT,JUSTDIAL,EQ,INE599M01018
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,EQ,INE930H01023
KPIT Technologies Ltd.,IT,KPIT,EQ,INE836A01035
Kalpataru Power Transmission Ltd.,ENERGY,KALPATPOWR,EQ,INE220B01022
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022
Kesoram Industries Ltd.,CEMENT & CEMENT PRODUCTS,KESORAMIND,EQ,INE087A01019
Kitex Garments Ltd.,TEXTILES,KITEX,EQ,INE602G01020
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,EQ,INE094I01018
Kwality Ltd.,CONSUMER GOODS,KWALITY,EQ,INE775B01025
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,EQ,INE269B01029
Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,LAKSHVILAS,EQ,INE694C01018
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01010
Linde India Ltd.,CHEMICALS,LINDEINDIA,EQ,INE473A01011
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
Magma Fincorp Ltd.,FINANCIAL SERVICES,MAGMA,EQ,INE511C01022
Mahanagar Telephone Nigam Ltd.,TELECOM,MTNL,EQ,INE153A01019
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,EQ,INE998I01010
Manpasand Beverages Ltd.,CONSUMER GOODS,MANPASAND,EQ,INE122R01018
Marksans Pharma Ltd.,PHARMA,MARKSANS,EQ,INE750C01026
Max India Ltd.,HEALTHCARE SERVICES,MAXINDIA,EQ,INE153U01017
McLeod Russel India Ltd.,CONSUMER GOODS,MCLEODRUSS,EQ,INE942G01012
Merck Ltd.,PHARMA,MERCK,EQ,INE199A01012
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,EQ,INE842C01021
Minda Industries Ltd.,AUTOMOBILE,MINDAIND,EQ,INE405E01023
Monsanto India Ltd.,FERTILISERS & PESTICIDES,MONSANTO,EQ,INE274B01011
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
NIIT Technologies Ltd.,IT,NIITTECH,EQ,INE591G01017
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,EQ,INE870D01012
Nava Bharat Ventures Ltd.,ENERGY,NBVENTURES,EQ,INE725A01022
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01026
Navkar Corporation Ltd.,SERVICES,NAVKARCORP,EQ,INE278M01019
Navneet Education Ltd.,MEDIA & ENTERTAINMENT,NAVNETEDUL,EQ,INE060A01024
Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18,EQ,INE870H01013
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,EQ,INE310A01015
Omaxe Ltd.,CONSTRUCTION,OMAXE,EQ,INE800H01010
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,EQ,INE876N01018
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,EQ,INE195J01029
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,EQ,INE560K01014
PTC India Ltd.,ENERGY,PTC,EQ,INE877F01012
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
Parag Milk Foods Ltd.,CONSUMER GOODS,PARAGMILK,EQ,INE883N01014
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025
Prism Cement Ltd.,CEMENT & CEMENT PRODUCTS,PRISMCEM,EQ,INE010A01011
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Ramco Systems Ltd.,IT,RAMCOSYS,EQ,INE246B01019
Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,RKFORGE,EQ,INE399G01015
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015
RattanIndia Power Ltd.,ENERGY,RTNPOWER,EQ,INE399K01017
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,EQ,INE131B01039
Reliance Naval and Engineering Ltd.,INDUSTRIAL MANUFACTURING,RNAVAL,EQ,INE542F01012
Religare Enterprises Ltd.,FINANCIAL SERVICES,RELIGARE,EQ,INE621H01010
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015
Rupa & Company Ltd.,TEXTILES,RUPA,EQ,INE895B01021
S H Kelkar and Company Ltd.,CONSUMER GOODS,SHK,EQ,INE500L01026
SML Isuzu Ltd.,AUTOMOBILE,SMLISUZU,EQ,INE294B01019
SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,SREINFRA,EQ,INE872A01014
Sadbhav Engineering Ltd.,CONSTRUCTION,SADBHAV,EQ,INE226H01026
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,EQ,INE839M01018
Sharda Cropchem Ltd.,FERTILISERS & PESTICIDES,SHARDACROP,EQ,INE221J01015
Sheela Foam Ltd.,CONSUMER GOODS,SFL,EQ,INE916U01025
Shilpa Medicare Ltd.,PHARMA,SHILPAMED,EQ,INE790G01031
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,EQ,INE498B01024
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,EQ,INE087H01022
Snowman Logistics Ltd.,SERVICES,SNOWMAN,EQ,INE734N01019
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Somany Ceramics Ltd.,CONSTRUCTION,SOMANYCERA,EQ,INE355A01028
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,EQ,INE460H01021
Sterlite Technologies Ltd.,TELECOM,STRTECH,EQ,INE089C01029
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,EQ,INE659A01023
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,EQ,INE399C01030
Supreme Petrochem Ltd.,CHEMICALS,SUPPETRO,EQ,INE663A01017
Suven Life Sciences Ltd.,PHARMA,SUVEN,EQ,INE495B01038
Swan Energy Ltd.,TEXTILES,SWANENERGY,EQ,INE665A01038
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,EQ,INE038F01029
TVS Srichakra Ltd.,AUTOMOBILE,TVSSRICHAK,EQ,INE421C01016
Take Solutions Ltd.,IT,TAKE,EQ,INE142I01023
Tamil Nadu Newsprint & Papers Ltd.,PAPER,TNPL,EQ,INE107A01015
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,EQ,INE493A01027
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01018
Tata Sponge Iron Ltd.,METALS,TATASPONGE,EQ,INE674A01014
Techno Elt & Eng Co. Ltd.,CONSTRUCTION,TECHNO,EQ,INE286K01024
Texmaco Rail & Eng. Ltd.,INDUSTRIAL MANUFACTURING,TEXRAIL,EQ,INE621L01012
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,EQ,INE594H01019
Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO,EQ,INE508G01029
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013
Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01014
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,EQ,INE516A01017
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
Unichem Laboratories Ltd.,PHARMA,UNICHEMLAB,EQ,INE351A01035
Unitech Ltd.,CONSTRUCTION,UNITECH,EQ,INE694A01020
United Bank of India,FINANCIAL SERVICES,UNITEDBNK,EQ,INE695A01019
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010
Va Tech Wabag Ltd.,SERVICES,WABAG,EQ,INE956G01038
Vesuvius India Ltd.,INDUSTRIAL MANUFACTURING,VESUVIUS,EQ,INE386A01015
Vinati Organics Ltd.,CHEMICALS,VINATIORGA,EQ,INE410B01029
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
Zee Learn Ltd.,MEDIA & ENTERTAINMENT,ZEELEARN,EQ,INE565L01011
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01019
eClerx Services Ltd.,IT,ECLERX,EQ,INE738I01010
